source_name,init_classification,probability,fit_model,coherence_r,coherence_g,coherence_i,description
ZTF19abrdxbh,Ca-rich,1.0,salt3,,,,
ZTF21aadatfx,IIP,1.0,salt3,,,,
ZTF21acliqdq,Type II,1.0,salt3,,,,
ZTF20aclnxgz,IIb,1.0,salt3,,,,
ZTF21achkqhi,Type II,1.0,salt3,,,,
ZTF20actodrq,Type II,1.0,salt3,,,,
ZTF20acycunv,IIP,1.0,salt3,,,,
ZTF20aazchcq,Type II,1.0,salt3,,,,
ZTF21abpqwkz,Type II,1.0,salt3,,,,
ZTF21aapkbav,IIb,1.0,salt3,,,,
ZTF21aatpsky,Type II,1.0,salt3,,,,
ZTF21aatabgn,Type II,1.0,salt3,,,,
ZTF21acjateh,Type II,1.0,salt3,,,,
ZTF21aarbhhp,Type II,1.0,salt3,,,,
ZTF20acynqpx,IIP,1.0,salt3,,,,
ZTF21aclmgzk,IIP,0.8,salt3,,,,
ZTF22aaahesb,Type II,0.85,salt3,,,,
ZTF22abvmasw,Type II,0.99,salt3,,,,
ZTF22aadoypp,Type II,0.999,salt3,,,,
ZTF21aakzicj,IIP,1.0,salt3,,,,
ZTF21aabkyvc,Type II,1.0,salt3,,,,
ZTF21abfrbsj,Type II,0.9998,salt3,,,,
ZTF21aceqpgp,Type II,1.0,salt3,,,,
ZTF22aajhyin,Type II,0.999,salt3,,,,
ZTF21aaqyifh,Type II,1.0,salt3,,,,
ZTF21aaxtepe,Type II,0.7,salt3,,,,
ZTF21aaydxoo,IIn,1.0,salt3,,,,
ZTF22absqhkw,Type II,1.0,salt3,,,,
ZTF20aclfmwn,IIb,1.0,salt3,,,,
ZTF22aaanmsr,Ib/c,0.9,salt3,,,,
ZTF21aciwixf,Ib,1.0,salt3,,,,
ZTF22aaebkwd,Ib,0.999,salt3,,,,
ZTF21acpicsi,Ic,1.0,salt3,,,,
ZTF21abcgnql,Ib,0.99,salt3,,,,
ZTF20acxoocn,Ic,0.9,salt3,,,,
ZTF21abpnotj,Ib,1.0,salt3,,,,
ZTF20acpzaoa,Ib,1.0,salt3,,,,
ZTF21abiricn,Ib,1.0,salt3,,,,
ZTF21abdkojo,Ib-norm,1.0,salt3,,,,
ZTF21aasuego,Ib,1.0,salt3,,,,
ZTF22aadlpkc,Ib,0.9,salt3,,,,
ZTF21aauvmck,Ibn,0.97,salt3,,,,
ZTF21abaiono,Ic-SLSN,0.95,salt3,,,,
ZTF21aakilyd,Icn,1.0,salt3,,,,
ZTF22abttupc,Ia,0.98434,salt3,,,,
ZTF22aaolexr,Ia,0.9872,salt3,,,,
ZTF20actpbck,Ia,1.0,salt3,,,,
ZTF21aalxurs,Ia,1.0,salt3,,,,
ZTF21acprymk,Ia,0.93484,salt3,,,,
ZTF21aaabxln,Ia,1.0,salt3,,,,
ZTF21aagteny,Ia,1.0,salt3,,,,
ZTF22aaaokni,Ia,1.0,salt3,,,,
ZTF22aakjjjj,Ia,0.99003,salt3,,,,
ZTF21acbpbia,Ia,0.99372,salt3,,,,
ZTF21acciklh,Ia,0.97714,salt3,,,,
ZTF21achqzub,Ia,1.0,salt3,,,,
ZTF21abcouxj,Ia,0.99945,salt3,,,,
ZTF21aaahuox,Ia,1.0,salt3,,,,
ZTF20abegopd,Ia-91bg,1.0,salt3,,,,
ZTF21aaafjad,Ia,1.0,salt3,,,,
ZTF21aaxubqf,Ia,0.99544,salt3,,,,
ZTF22aalyfii,Ia,0.99977,salt3,,,,
ZTF22abvdwik,Ia,1.0,salt3,,,,
ZTF22abvasxc,Ia,0.99753,salt3,,,,
ZTF21ackbkoy,Ia,0.99953,salt3,,,,
ZTF20abcawtk,Ia,1.0,salt3,,,,
ZTF21abvdyoj,Ia,1.0,salt3,,,,
ZTF21aaydfro,Ia,0.96001,salt3,,,,
ZTF22aaddorn,Ia,1.0,salt3,,,,
ZTF22abkxbeo,Ia-pec,0.6,salt3,,,,
ZTF22aaorjov,Ia,0.98291,salt3,,,,
ZTF22abfuosd,Ia,0.99206,salt3,,,,
ZTF22abtdzyw,Ia,0.96304,salt3,,,,
ZTF22aadqkuv,Ia-91T,0.999,salt3,,,,
ZTF22aaaygaj,Ia,0.99,salt3,,,,
ZTF20acquetr,Ia,0.6,salt3,,,,
ZTF20acwdnbw,Ia,1.0,salt3,,,,
ZTF22abtjcbg,Ia,1.0,salt3,,,,
ZTF22abfunyc,Ia,0.97062,salt3,,,,
ZTF22abswuoz,Ia,0.999,salt3,,,,
ZTF22abtnuch,Ia,1.0,salt3,,,,
ZTF21achyvno,Ia,0.93789,salt3,,,,
ZTF21acfcthx,Ia,0.97894,salt3,,,,
ZTF21aaahzpr,Ia,1.0,salt3,,,,
ZTF22abvaggn,Ia,0.99938,salt3,,,,
ZTF21aaqyetj,Ia,1.0,salt3,,,,
ZTF21aarrwdu,Ia,0.9,salt3,,,,
ZTF21acjgqjl,Ia,0.98483,salt3,,,,
ZTF21aatklhw,Ia,1.0,salt3,,,,
ZTF21abqvyyz,Ia,0.91297,salt3,,,,
ZTF21aalkknw,Ia,1.0,salt3,,,,
ZTF22aboaiim,Ia,1.0,salt3,,,,
ZTF21aalkjbl,Ia-91bg,0.8,salt3,,,,
ZTF21acbuwgu,Ia,1.0,salt3,,,,
ZTF21acjvjyk,Ia,0.98828,salt3,,,,
ZTF21abbewsz,Ia,1.0,salt3,,,,
ZTF22aaafetg,Ia,1.0,salt3,,,,
ZTF21abifrsi,Ia,0.94601,salt3,,,,
ZTF22aadlmgg,Ia-91bg,0.999,salt3,,,,
